AGENTE,FECHA,FECHA_IDX,gen_mes,comp_bols_mes,comp_cont_mes,comp_recon_mes,demanda_real_mes,comp_cont_reg_mes,vent_cont_SICEP_mes,vent_cont_no_reg_mes,vent_cont_ener_mes,precio_bolsa_mes,precio_prom_cont_reg_mes,precio_prom_cont_no_reg_mes,pandemia,ONI,PANDEMIA,Demanda_UPME,EXP_BOLSA
EPMG,2010-03-01,3.0,0.23385456239196092,0.5682893082267935,0.38034729747560186,0.15933961657513854,0.21780763270017983,0.0,-0.5601752017072757,0.38034729747560186,0.22781410450745196,-0.08083646618040545,-0.45942093303899395,-0.4878691148685445,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.3957991558487525
EPSC,2010-03-01,3.0,0.0,-0.4413213131537282,0.22008330792367128,0.0,0.21934959145944286,0.25447419623722367,0.0,0.15929459186808972,0.0,-0.08189077439976009,-0.45945193787136474,-0.48788287002031633,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.0
EPSG,2010-03-01,3.0,0.18205113687060812,-0.09053139019094042,-2.1457481889250145,0.5069495927028483,0.14337658984887314,0.0,-0.6182980223930648,-2.1457481889250145,0.13095420274763814,-0.08164232432299962,-0.4594148193802306,-0.48798288875240864,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.06425007122128643
ESSC,2010-03-01,3.0,0.0,0.32618047458084465,0.26303789001077443,0.0,0.2662936524102881,0.25117347968471465,0.0,1.644134117201988,3.9955580705995555,-0.08189077439976009,-0.45945193787136474,-0.48788287002031633,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.20441267005615782
GASC,2010-03-01,3.0,0.0,0.45059199686469037,0.36232410282118904,0.0,0.0,0.0,-0.6509955781350976,0.36232410282118904,0.3753796573974948,-0.08189077439976009,-0.45945193787136474,-0.48788287002031633,0.0,1.0010491166948357,0.0,-1.2697210078037695,7.114310165971285e-05
GECC,2010-03-01,3.0,0.0,-0.46943308459399224,0.5635600429574893,0.0,0.5388751749009499,0.0,0.0,0.5635600429574893,0.0,-0.08189077439976009,-0.45945193787136474,-0.48788287002031633,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.0
GECG,2010-03-01,3.0,0.27926074117356686,-0.43314003110804844,-1.1691148207375892,0.6671619544255241,-0.10274728520521934,0.0,-0.5299347387591872,-1.1691148207375892,0.24257147688952954,-0.07993123505008815,-0.45939231248206014,-0.48881193125874894,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.020107770834607186
GNCC,2010-03-01,3.0,0.0,0.46971705241579326,0.15466654163493093,0.0,0.14932438413285867,-0.04016842867953261,-0.24938637900281208,0.25177563573964734,0.25265055832253736,-0.08189077439976009,-0.45945193787136474,-0.48788287002031633,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.21706265801709085
HIMG,2010-03-01,3.0,0.44856695712847056,0.29887953066787354,0.5360132832745229,0.4865579949389856,0.3586760696734787,0.0,-0.4379054888226429,0.5360132832745229,0.37139751540599836,-0.07822496827974382,-0.4595847082445987,-0.48671818113658094,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.26929948962533806
ISGC,2010-03-01,3.0,0.0,-0.1992347144160685,0.2609268426158609,0.0,0.26696357664292336,0.0,0.0,0.2650339979833008,0.0,-0.08189077439976009,-0.45945193787136474,-0.48788287002031633,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.0
